,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
69,BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",0000875045,https://en.wikipedia.org/wiki/Biogen_Inc.
70,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",0001364742,https://en.wikipedia.org/wiki/BlackRock
71,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",0000012927,https://en.wikipedia.org/wiki/Boeing_Company
72,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",0001075531,https://en.wikipedia.org/wiki/Booking_Holdings_Inc
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",0000908255,https://en.wikipedia.org/wiki/BorgWarner
74,BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",0001037540,https://en.wikipedia.org/wiki/Boston_Properties
75,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",0000885725,https://en.wikipedia.org/wiki/Boston_Scientific
76,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",0000014272,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",0001730168,https://en.wikipedia.org/wiki/Broadcom_Inc.
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",0001383312,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions
79,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",0000014693,https://en.wikipedia.org/wiki/Brown-Forman_Corp.
80,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",0001043277,https://en.wikipedia.org/wiki/C._H._Robinson_Worldwide
81,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0000858470,https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas
82,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",0000813672,https://en.wikipedia.org/wiki/Cadence_Design_Systems
83,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",0000016732,https://en.wikipedia.org/wiki/Campbell_Soup
84,COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",0000927628,https://en.wikipedia.org/wiki/Capital_One_Financial
85,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",0000721371,https://en.wikipedia.org/wiki/Cardinal_Health_Inc.
86,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",0001170010,https://en.wikipedia.org/wiki/Carmax_Inc
87,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",0000815097,https://en.wikipedia.org/wiki/Carnival_Corp.
88,CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",0001783180,https://en.wikipedia.org/wiki/Carrier_Global
89,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",0000018230,https://en.wikipedia.org/wiki/Caterpillar_Inc.
90,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",0001374310,https://en.wikipedia.org/wiki/Cboe_Global_Markets
91,CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",0001138118,https://en.wikipedia.org/wiki/CBRE_Group
92,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",0001402057,https://en.wikipedia.org/wiki/CDW
93,CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",0001306830,https://en.wikipedia.org/wiki/Celanese
94,CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",0001071739,https://en.wikipedia.org/wiki/Centene_Corporation
95,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",0001130310,https://en.wikipedia.org/wiki/CenterPoint_Energy
96,CTL,CenturyLink Inc,Communication Services,Alternative Carriers,"Monroe, Louisiana",0000018926,https://en.wikipedia.org/wiki/CenturyLink_Inc
97,CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",0000804753,https://en.wikipedia.org/wiki/Cerner
98,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",0001324404,https://en.wikipedia.org/wiki/CF_Industries_Holdings_Inc
99,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",0000316709,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation
100,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",0001091667,https://en.wikipedia.org/wiki/Charter_Communications
101,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",0000093410,https://en.wikipedia.org/wiki/Chevron_Corp.
102,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",0001058090,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill
103,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",0000896159,https://en.wikipedia.org/wiki/Chubb_Limited
104,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",0000313927,https://en.wikipedia.org/wiki/Church_%26_Dwight
105,CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",0000701221,https://en.wikipedia.org/wiki/CIGNA_Corp.
106,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",0000020286,https://en.wikipedia.org/wiki/Cincinnati_Financial
107,CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",0000723254,https://en.wikipedia.org/wiki/Cintas_Corporation
108,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",0000858877,https://en.wikipedia.org/wiki/Cisco_Systems
109,C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",0000831001,https://en.wikipedia.org/wiki/Citigroup_Inc.
110,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",0000759944,https://en.wikipedia.org/wiki/Citizens_Financial_Group
111,CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",0000877890,https://en.wikipedia.org/wiki/Citrix_Systems
112,CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",0000021076,https://en.wikipedia.org/wiki/The_Clorox_Company
113,CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",0001156375,https://en.wikipedia.org/wiki/CME_Group_Inc.
114,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",0000811156,https://en.wikipedia.org/wiki/CMS_Energy
115,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",0000021344,https://en.wikipedia.org/wiki/Coca-Cola_Company
116,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",0001058290,https://en.wikipedia.org/wiki/Cognizant_Technology_Solutions
117,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",0000021665,https://en.wikipedia.org/wiki/Colgate-Palmolive
118,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",0001166691,https://en.wikipedia.org/wiki/Comcast_Corp.
119,CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",0000028412,https://en.wikipedia.org/wiki/Comerica_Inc.
120,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",0000023217,https://en.wikipedia.org/wiki/Conagra_Brands
121,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",0001358071,https://en.wikipedia.org/wiki/Concho_Resources
122,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0001163165,https://en.wikipedia.org/wiki/ConocoPhillips
123,ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",0001047862,https://en.wikipedia.org/wiki/Consolidated_Edison
124,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",0000016918,https://en.wikipedia.org/wiki/Constellation_Brands
125,COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",0000711404,https://en.wikipedia.org/wiki/The_Cooper_Companies
126,CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",0000900075,https://en.wikipedia.org/wiki/Copart_Inc
127,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",0000024741,https://en.wikipedia.org/wiki/Corning_Inc.
128,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",0001755672,https://en.wikipedia.org/wiki/Corteva
129,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",0000909832,https://en.wikipedia.org/wiki/Costco_Wholesale_Corp.
130,COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",0001024305,"https://en.wikipedia.org/wiki/Coty,_Inc"
131,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",0001051470,https://en.wikipedia.org/wiki/Crown_Castle_International_Corp.
132,CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",0000277948,https://en.wikipedia.org/wiki/CSX_Corp.
133,CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",0000026172,https://en.wikipedia.org/wiki/Cummins_Inc.
134,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",0000064803,https://en.wikipedia.org/wiki/CVS_Health
135,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",0000882184,https://en.wikipedia.org/wiki/D._R._Horton
136,DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",0000313616,https://en.wikipedia.org/wiki/Danaher_Corp.
137,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",0000940944,https://en.wikipedia.org/wiki/Darden_Restaurants
138,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",0000927066,https://en.wikipedia.org/wiki/DaVita_Inc.
139,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",0000315189,https://en.wikipedia.org/wiki/Deere_%26_Co.
140,DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",0000027904,https://en.wikipedia.org/wiki/Delta_Air_Lines_Inc.
141,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",0000818479,https://en.wikipedia.org/wiki/Dentsply_Sirona
142,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",0001090012,https://en.wikipedia.org/wiki/Devon_Energy
143,DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",0001093557,https://en.wikipedia.org/wiki/DexCom
144,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",0001539838,https://en.wikipedia.org/wiki/Diamondback_Energy
145,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",0001297996,https://en.wikipedia.org/wiki/Digital_Realty_Trust
146,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",0001393612,https://en.wikipedia.org/wiki/Discover_Financial_Services
147,DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,"Silver Spring, Maryland",0001437107,"https://en.wikipedia.org/wiki/Discovery,_Inc."
148,DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,"Silver Spring, Maryland",0001437107,"https://en.wikipedia.org/wiki/Discovery,_Inc."
149,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",0001001082,https://en.wikipedia.org/wiki/Dish_Network
150,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",0000029534,https://en.wikipedia.org/wiki/Dollar_General
151,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",0000935703,https://en.wikipedia.org/wiki/Dollar_Tree
152,D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",0000715957,https://en.wikipedia.org/wiki/Dominion_Energy
153,DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",0001286681,https://en.wikipedia.org/wiki/Domino%27s_Pizza
154,DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",0000029905,https://en.wikipedia.org/wiki/Dover_Corporation
155,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",0001751788,https://en.wikipedia.org/wiki/Dow_Inc.
156,DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",0000936340,https://en.wikipedia.org/wiki/DTE_Energy_Co.
157,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",0001326160,https://en.wikipedia.org/wiki/Duke_Energy
158,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",0000783280,https://en.wikipedia.org/wiki/Duke_Realty_Corp
159,DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",0001666700,https://en.wikipedia.org/wiki/DuPont_de_Nemours_Inc
160,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",0001688568,https://en.wikipedia.org/wiki/DXC_Technology
161,ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",0001015780,https://en.wikipedia.org/wiki/E*Trade
162,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",0000915389,https://en.wikipedia.org/wiki/Eastman_Chemical
163,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",0001551182,https://en.wikipedia.org/wiki/Eaton_Corporation
164,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",0001065088,https://en.wikipedia.org/wiki/EBay_Inc.
165,ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",0000031462,https://en.wikipedia.org/wiki/Ecolab_Inc.
166,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",0000827052,https://en.wikipedia.org/wiki/Edison_Int%27l
167,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",0001099800,https://en.wikipedia.org/wiki/Edwards_Lifesciences
168,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",0000712515,https://en.wikipedia.org/wiki/Electronic_Arts
169,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",0000032604,https://en.wikipedia.org/wiki/Emerson_Electric_Company
170,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",0000065984,https://en.wikipedia.org/wiki/Entergy_Corp.
171,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0000821189,https://en.wikipedia.org/wiki/EOG_Resources
172,EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",0000033185,https://en.wikipedia.org/wiki/Equifax_Inc.
173,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",0001101239,https://en.wikipedia.org/wiki/Equinix
174,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",0000906107,https://en.wikipedia.org/wiki/Equity_Residential
175,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",0000920522,"https://en.wikipedia.org/wiki/Essex_Property_Trust,_Inc."
176,EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York, New York",0001001250,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies
177,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",0001711269,https://en.wikipedia.org/wiki/Evergy
178,ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",0000072741,https://en.wikipedia.org/wiki/Eversource_Energy
179,RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",0001095073,https://en.wikipedia.org/wiki/Everest_Re
180,EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",0001109357,https://en.wikipedia.org/wiki/Exelon_Corp.
181,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",0001324424,https://en.wikipedia.org/wiki/Expedia_Group
182,EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",0000746515,https://en.wikipedia.org/wiki/Expeditors_International
183,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",0001289490,https://en.wikipedia.org/wiki/Extra_Space_Storage
184,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",0000034088,https://en.wikipedia.org/wiki/Exxon_Mobil_Corp.
185,FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",0001048695,https://en.wikipedia.org/wiki/F5_Networks
186,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",0001326801,"https://en.wikipedia.org/wiki/Facebook,_Inc."
187,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",0000815556,https://en.wikipedia.org/wiki/Fastenal_Co
188,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",0000034903,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust
